aa	ah
taradhia	beg
taradhia	ask for remission
tarafa	division
taraghani	boast
taraji	hope
taraji	intend
tarajia	expect
tarajia	hope
tarajio	expectation
tarajio	hope
tarakanya	interrupt and disrupt discussion
tarakanya	speak quickly and in a confused manner talk senselessly
tarakimu	numeral
tarakimu	digit
tarare	weed
taratibu	procedure
taratibu	formality
taratibu	carefully
taratibu	orderly
taratibu	slowly
tarawanda	wooden sandal
tarawehi	long optional prayer during Ramadhan
taraza	embroidered hem
tarazaki	earn a living
tarazia	coastal dance in which men and women take turns to dance in a circle
tarazo	terrazzo
tarehe	date
tarehe	history
tari	small drum
tari	drum used in exorcising spirits
tari	male stick dance
tarijama	autobiography
tarika	creed
tarika	brotherhood
tariki	way
tarishi	messenger
tarishi	courier
tarizi	embroider weave a border
tarizi	roll thread on a spindle
tarjumi	translate
tarjumi	translation
taruma	rib
taruma	frame
taruma	railway sleeper
taruma	incision
taruma	tatoo
tarumbeta	trumpet
tasa	sterile
tasa	barren
tasa	odd
tasa	metal bowl for washing
tasa	silver gong used in music
tasa	complicate
tasa	perplex
tasaufi	religions education
tasawari	be reliable
tasawari	credible
tasawari	seem to be good
tasawari	seem to succeed
tasbihi	prayer beads
tasbihi	rosary
tashbihi	simile
tashdidi	stress
tashihisi	personification
tashkota	mandolin
tashtiti	satire
tashtiti	instigation
tashtiti	provocation
tashwishi	uncertainity
tashwishi	doubt
tasi	oil for cleaning rope belt which strengthens them
tasi	broad black sea fish
tasihili	quickly
tasihili	hurriedly
tasinifu	thesis
tasinifu	dissertation
taslimu	cash
tasiliti	make mischief
tasiliti	tattle on
tasliti	wanting desperately
tasnia	industry
tasua	solve
tasua	clarify
tasua	elaborate
taswira	image
taswira	picture
taswira	imagery
taswira	diagram
tata	be tangled
tata	be complicated
tata	tangle
tata	complication compound
tata	complex
tataga	cross by holding on to sth
tatanisha	be perplexing
tatanisha	complicate
tatanisho	perplexity
tatanisho	complication
tatanua	expand
tatanua	widen
tatarika	rattle
tatarika	crackle
tatarika	chatter
tatarika	gabble
tathmini	evaluate
tatiza	complicate
tatiza	perplex
tatiza	puzzle
tatu	three
tatua	solve
tatua	disentangle
taufiki	grace of God
taulo	towel
taumu	prop
taumu	support
tauni	bubonic plague
tausi	peacock
tausi	peahen
tawa	live in seclusion
tawa	lead a devout life
tawa	metal frying pan
tawadha	wash after toilet
tawadha	make ablutions before prayers
tawafu	die with honour
tawakali	trust in God
tawala	govern
tawala	administer
tawala	rule
tawala	control
tawanyika	disperse
tawanyika	be scattered
tawanya	spread
tawanya	scatter
tawanya	disperse
tawasali	pray to God in collaboration with a religious leader
tawasifu	autobiography
tawaza	install in office
tawaza	enthrone
tawi	branch
tawili	long
taya	jaw
taya	piece of sail cloth
taya	reproach
taya	rebuke
tayari	ready
tayari	already
tayo	insult
tayo	abuse
tayu	scales
tayu	balance
tayu	weighing machine
tazama	look at
tazama	watch
tazama	help
tazama	aid
tazama	be wary cautious
tazamia	divine
tazamia	expect
tazamia	intend
tazamia	hope
tebo	table
tebwere	soft
tebwere	loose
tebwere	expression of emphasizing softness
tebwereka	be soft
tefutefu	soft
tega	set a trap
tega	entrap
tege	bow legged
tege	bandy legged
tegea	lay trap for
tegea	shirk work
tegemea	depend on
tegemea	rely on
tegemea	anticipate
tegemea	expect
tegemeo	support
tegemeo	hope
tegemeo	expectation
tegemezi	dependent
tego	sexual ailment believed to be caused by running with sbs wife
tego	a circumcisers board
tegu	tapeworm
tegua	disassemble a trap
tegua	remove from a stove cooker
tegua	sprain
tegua	dislocate
teguka	be sprained
tehemu	disgrace
tehemu	belittle
tehemu	feel ashamed
teitei	loose pants
teka	mini-sitting room
teka	scoop up
teka	fetch
teka	capture
teka	kidnap
teka	hijack
teka	seize
teke	kick separate
teke	expel
teke	abandon
teke	tender
teke	soft
tekeleza	implement
tekeleza	execute
tekelezo	implementation
tekelezo	execution
teketeza	destroy
teketeza	burn
teketeza	ravage
tekenya	tickle
tekenya	jigger
tekenya	flea
teketea	be burned down
teketea	be ravaged
teketea	perish
teketeke	soft
teketeke	squishy
tekewa	be helpless
teknolojia	technology
teksi	taxi
tekua	push down
tekua	uproot forcefully
tele	plenty
tele	full fully
telegramu	telegram
teleka	set pot on a stove
teleka	swallow
telekevu	obedient
telekeza	abandon
teleksi	telex
televisheni	television
teleza	slip be slippery
teli	gold or silver thread
telki	horses quick trot
tema	cut
tema	spit
tembe	pullet
tembe	young hen
tembe	flat-roofed house
tembe	pill
tembe	tablet
tembea	walk
tembea	move around
tembea	travel around
tembea	fornicate
tembelea	visit
tembelea	walk with
tembeza	take sb around show around hawk
tembo	elephant
tembo	coconut palm wine
tembo	changu-like fish
temea	spit at on
temsi	filigree
temua	hollow out a log
tena	again
tenda	do
tenda	act
tenda	treat
tenda	tender
tenda	bid
tende	elephantiasis
tende	date
tendegu	beds leg
tendeka	be over and done
tendeka	be accomplished
tendesa	over do
tendeti	pastry doughnut
tendo	act
tendo	action
tendo	deed
tendwa	cure
tendwa	treatment
tendwa	therapy
tendwa	corrective measure
tenga	separate
tenga	isolate
tenga	ostracize
tenga	bamboo basket
tenga	type of ray fish
tenga	animal bird trap
tengana	be separated
tengana	be estranged tengania
tenge	disorder
tenge	chaos crooked
tenge	out of line
tenge	trapezium
tengea	be back to normal
tengea	be settled down
tengeneza	manufacture
tengeneza	assemble
tengeneza	prepare
tengeneza	repair
tengeneza	fix
tengeneza	mend
tengeneza	correct
tengua	annul
tengua	sprain
tengua	twist
tengua	wrench
tenisi	tennis
teo	sling
tepe	braid
tepe	tape
tepetea	be weak
tepetea	be listless
tepetepe	soft
tepetepe	smooth
tepetepe	tender
tepetepe	too much
tepetevu	loose
tepetevu	weak
tepetevu	limp
tepo	pride
tepo	conceit
tepo	showing off
tepu	tape
tepua	enervate
tepua	make weary
terebesha	edge of something eg a table
terebesha	dhow
terebesha	boat
terema	be at ease
terema	be happy
teremka	descend get off alight
teremkia	get off at
teremkia	alight at
teremkia	disembark at
teremsha	lower discharge let off
tesa	torture
tesa	persecute
teseka	suffer
teseka	be tortured be persecuted
teta	backbite
teta	speak against
tete	reed
tetesupsup	unsteadily
tetesupsup	with a stagger
tete	slag
tete	dross
tetea	cackle
tetea	speak up for
tetea	defend
tetekuwanga	chickenpox
tetema	tremble
tetema	shake
tetema	vibrate
tetemeka	tremble
tetemeka	shake
tetemeka	vibrate
tetemeka	quake
tetemeka	quiver
tetemeka	shiver
tetemeko	tremble
tetemeko	quake earthquake
tetere	ring-necked dove
tetereka	stagger
tetereka	wobble
tetereka	budge
tetesi	rumour
teua	select
teua	appoint
teua	designate
teua	choose
teuka	belch burp
teule	chosen
teule	elect
teushi	stinking belch
tezi	stern
tezi	poop of a ship
tezi	gland
tezi	tumour
tezi	glandular
tezi	goitre
tezi	wen
tezo	adze
thabiti	firm
thabiti	rigid
thabiti	undoubted
thabiti	truth
thabiti	with no doubt
thakili	condition that causes trouble
thakili	hardship
thakili	distress distressing
thakili	troublesome
thakili	hard-ship
thakilisha	distress
thakilisha	disturb
thakilisha	trouble
thama	except for
thama	likewise
thamani	value
thamanini	light cotton cloth
thamini	value
thamini	appraise
thamini	respect
thamini	value sb
thamra	young cloves beginning to form
thaura	revolution
thawabu	spiritual reward
thawabu	gift
thelathini	thirty
theluji	snow
theluthi	one third
themanini	eighty
themometa	thermometer
thenashara	twelve
theolojia	theology
thibiti	be true authentic
thibitika	be proven
thibitisha	confirm
thibitisha	ratify
thibitisha	prove
thibitisho	proof
thibitisho	confirmation
thori	impotent
thubutu	dare
thubutu	have courage to do sth
thubutu	cannot dare can he fight me he cannot dare
thubutu	come true
thumni	one eighth of something
thumni	fifty-cent coin
thurea	chandelier
thurea	pleiades
ti	total black
ti	completely
tia	put something into
tia	pour into
tia	bring about
tia	cause
tia	kind of traditional dance
tiabu	stick throwing game
tiara	kite
tiara	crown
tiba	medical treatment
tiba	medicine
tibu	cure
tibu	treat
tibu	heal
tibu	scented ointment
tibua	stir up
tibua	unsettle intrude other peoples affairs
tibwirika	be shaky as if one is dancing
tibwirika	be weak
tibwirika	be loose
tibwirika	do something with anxiety
tifua	loosen soil
tifua	make soil soft
tifutifu	loose soil sand
tiga	pound
tiga	crash
tiga	mash something by using hands or feet
tii	obey
tii	conform
tii	be submissive
tiifu	obedient
tiifu	submissive
tija	productivity
tija	expertise
tijara	profit
tijara	surplus
tika	roll
tika	swing
tiketi	ticket
tiki	completely
tikinyika	laugh stupidly while shaking the body
tikisa	shake
tikisa	wave sth
tikisika	be shaky
tikisika	unsteady
tikita	enjoy
tikiti	watermelon
tikitiki	completely flat damaged
tilifika	perish
tilifika	be destroyed
timamu	complete
timamu	mature
timazi	masons plummet
timba	step on something eg mud or dung
timba	use something extravagantly
timba	string of something eg beads
timba	malt
timbe	lump of cast or unwrought metal
timbi	bracelet
timbi	armlet
timbi	bangle
timia	be completed
timia	be realized
timia	come to term
timia	be concluded
timirya	assist
timirya	help
timirya	be useful
timiza	complete
timiza	fulfil
timilifu	perfect
timka	run off
timka	trot away
timka	dash
timka	be ruffled
timtimu	ruffled
timu	team
timua	run away
timua	dash
timua	speed off
timua	disarrange
timua	make ruffle
tinda	shape eyebrows or hairline
tindi	joint
tindi	spoke
tindia	have pains after falling down
tindiga	marshgrass
tindikali	acid
tindikiwa	run short of
tindikiwa	be lacking
tindo	cold chisel
tindo	punch
tinga	swing
tinga	encircle
tinga	hem in
tinga	entwine
tinga	get to the net goal
tingatinga	bridge made of timber
tingatinga	marsh area
tingatinga	bulldozer
tinge	competition in leaping
tingi	strope used in changing sail
tingisha	shake
tingisha	shake up
tini	fig
tinya	cut a small piece eg of meat
tipitipi	white-browed caocal
tipwatipwa	soft and plump
tiriri	annoy sb by repeating the same mistake
tiririka	trickle
tiririka	flow
tiririka	drip
tisa	nine
tisha	frighten
tisha	terrify
tisha	threaten
tishali	lighter
tishali	barge
tishia	threaten threaten the life of sb
tishika	be terrified
tishika	be threatened
tishio	threat
tishio	scare
tisini	ninety
tisti	firm
tisti	unwavering
titi	teat
titi	breast
titia	sink
titiga	hit beat severely
titika	carrying a heavy load
titima	rumble
titima	roll
titima	sink
titimua	squander
titimua	misappropriate
tiva	Zanzibar boubou puffback
toa	put out
toa	remove
toasi	cymbal
toasi	large castanet
toba	repentance
tobo	hole
toboa	drill
toboa	bore
toboa	puncture
toboa	speak out
toboa	reveal
toboka	be holed
toboka	be punctured
tobosha	sweet fritter made of flour with sugar or honey
tobwe	hole
tochi	torch
tochi	flashlight
tofali	brick
tofauti	difference
tofauti	differently different
tofautiana	differ
tofautisha	differentiate
tofya	press gently
toga	pierce ears nose lips
togwa	sweet malt drink
tohara	clean
tohara	purity circumcision
toharika	be pure clean
toharisha	cleanse
toharisha	purify
tohe	reedbuck
tohoa	dilute
tohoa	adapt modify
toja	incise
toja	scarify
toja	tattoo
tojo	tattoo
tojo	incision
toka	from
toka	get out
toka	go out leave
toka	exit
tokana	result from
tokana	stem from be caused by
tokea	appear
tokea	occur
tokea	happen
tokea	emerge
tokeo	result
tokeo	outcome
tokeza	protrude
tokeza	be prominent
tokezea	appear at
tokezea	emerge at
tokomea	vanish
tokomea	disappear
tokomezea	annihilate
tokomire	kind of Zaramo dance
tokoni	nm - pelvic joint
tokosa	boil
tokota	boil
tokwa	shed
tokwa	gush out
tola	weight of about half anounce used for weighing silver
tola	gold
tola	oil and perfumes
tolatola	various different types
toleo	issue
toleo	offering
toleo	edition
toma	burst into
toma	rush into
tomasa	press gently
tomba	kt fuck
tomba	have sex
tomba	copulate
tombo	human breast
tombo	quail
tombola	lottery
tombola	tombola
tombovu	stinking belch
tombovu	abusive words
tomea	apply final touches of masons work
tomea	do retouching
tomea	write dictionary entries
tomea	press grains in a sack to fill to the top
tomo	smoothing stone
tomoko	custard-apple
tomondo	malay apple
tona	leak
tona	drip
tondo	kind of snail
tondoo	thimble
tone	drop
tone	drip
tonesupsup	- bad effect
tonea	plait hair for the first time
tonesha	kt re-open a sore
tonesho	act of re-opening a sore
tonga	kind of fruit resembling a coconut
tonga	type of medlar
tonge	lump ball of food
tongo	discharge from eye
tongo	flock of small birds
tongo	deserted place
tongoa	speak out
tongoa	explain clearly
tongonya	type of wild banana
tongoza	seduce
toni	tone
tononoka	be in fine shape
tope	mud
tope	mire
topea	sink
topea	be immersed
topea	be expert
topea	specialize
topetope	custard-apple fruit
topi	tophat
topi	hartebeest
topito	torpedo
topoa	remove from
topoa	pull out
topoa	rescue from
topoa	remove a magic spell
topoa	mark boundaries
topozi	medicine
topozi	medicament
topu	full to the brim
topu	completely
tora	small spear
torati	the Torah
toroka	escape
toroka	disappear
toroka	abscond a
torosha	elope
torosha	assist to run away
torosha	assist a prisoner to run away
toroli	trolley
tosa	dip
tosa	immerse
tosa	plunge into
tosa	nearly ripe
tosha	be enough
tosha	be sufficient
tosheka	be satisfied
tosheka	be satiated
tosheleza	be adequate
tosheleza	be sufficient
tosheleza	satisfy
tosi	toast
tota	be drenched
totama	squat
totoa	hatch out
totoro	completely
totova	be speechless
totova	be dumbfounded
totovu	swelling fish
tovi	breeding bull
tovu	navel like ornament
tovu	mannerless
towashi	eunuch
towea	use as a relish
toweka	disappear
toweka	vanish
toza	fine
toza	tobacco pipe
trafiki	traffic
transfoma	transformer
trekta	tractor
trela	trailer
treni	train
tropiki	tropic
tu	only
tu	just
tua	stop at
tua	stop over
tua	camp
tua	set
tua	land on at
tua	be calm
tua	be settled
tua	be understood
tua	disgrace
tua	shame
tuama	be nice
tuama	calm precipitate
tubia	repent
tubu	repent
tubu	be penitent
tubu	confess
tubwikia	tumble into water
tubwikia	plunge into water
tufaha	apple
tufani	hurricane
tufani	tempest
tufani	typhoon
tufani	storm
tufe	globe
tufu	visit a Holy place
tuguu	grain-drying mat
tuhuma	suspicion accusation
tuhumu	suspect
tuhumu	accuse
tui	coconut milk
tuili	take long time to complete a task
tuka	verandah post
tuka	bunch of seedlings
tuka	dry land
tukana	abuse
tukana	insult
tukana	call bad names
tukano	insult
tukano	abuse
tukia	happen
tukia	occur
tukio	event
tukio	happening
tukio	occurrence
tukizi	rarity
tukizi	scarcity
tuku	kind of poisonous diodon fish
tukufu	glorious
tukufu	exalted
tukuka	be exalted revered
tukuta	shake
tukuta	be petulant
tukuta	be jumpy uptight
tukutiko	tremor
tukutiko	tremulous movement
tukutiko	nervous excitement fluttering of the heart
tukutiko	excited feeling
tukuto	see tukutiko
tukutu	mischievous
tukutu	naughty
tukwa	tonsil
tule	unpleasant
tuli	calm
tuli	tranquil
tuli	serene he is calm
tulia	be calm
tulia	be settled
tulia	be quiet
tulivu	quiet
tulivu	peaceful
tuliza	calm sb something
tuliza	placate
tulizana	comfort one another
tulizana	be calm
tulizana	be quiet
tulizo	consolation
tulizo	comfort
tuma	send eg a letter
tuma	a message
tumaini	hope
tumaini	expect
tumaini	trust
tumaini	expectation
tumaini	hope
tumba	pod
tumba	bud
tumba	moons halo
tumba	type of small long drum
tumba	bale
tumba	large bundle
tumbaku	tobacco
tumbawe	soft coral rag
tumbi	basket used for carrying fish
tumbi	a lot
tumbi	many
tumbo	stomach
tumbo	belly
tumbo	abdomen
tumbo	womb
tumbo	literary work eg poetry
tumbo	songs etc
tumbua	disembowel
tumbua	rip open gaze at
tumbuiza	entertain with music or songs
tumbuizo	crooning
tumbuizo	humming
tumbuizo	a lullaby
tumbuizo	a soothing melody
tumbuizo	entertaiment
tumbukia	fall into
tumbukia	get into trouble
tumbukiza	drop into
tumbukiza	throw into
tumbukiza	push into
tumbukiza	cause sb get into trouble
tumbulia	stare at
tumbulia	gaze
tumburujika	be decomposed
tumburujika	decay
tumburujika	rot
tumbu	iron door lock
tume	commission
tume	restless condition
tumia	use
tumia	utilize
tumia	apply
tumikia	serve
tumikia	be at the service of
tumikisha	make sb work for you
tuna	swell
tuna	inflate
tuna	show anger
tunda	pick pluck fruits
tunda	fruit
tundika	hang
tundu	hole
tundu	hollow
tundu	nest
tundu	den
tunduia	keep an eye on
tunduia	watch out for
tunduizi	watchful
tunduwaa	be flabbergasted
tunduwaa	be dumbfounded
